組み合わせ,オッズ
"('ニシノキララコ', 'ユノディエール', 'マイネルヘミニス')",4856.75544404936
"('ニシノキララコ', 'ユノディエール', 'プラチナヴォイス')",1420.9897224465574
"('ニシノキララコ', 'ユノディエール', 'スピリットソウル')",353.1694482027515
"('ニシノキララコ', 'ユノディエール', 'ジャコマル')",50406.54137773357
"('ニシノキララコ', 'ユノディエール', 'クインズゴールド')",7864.815857576987
"('ニシノキララコ', 'ユノディエール', 'アルマバテーム')",48861.952401514754
"('ニシノキララコ', 'ユノディエール', 'ナルカミ')",3309.3983040114995
"('ニシノキララコ', 'ユノディエール', 'プエルタデルソル')",5859.7028687869115
"('ニシノキララコ', 'マイネルヘミニス', 'プラチナヴォイス')",572.7824681211109
"('ニシノキララコ', 'マイネルヘミニス', 'スピリットソウル')",141.51085307276378
"('ニシノキララコ', 'マイネルヘミニス', 'ジャコマル')",20332.396156043542
"('ニシノキララコ', 'マイネルヘミニス', 'クインズゴールド')",3172.2951646374313
"('ニシノキララコ', 'マイネルヘミニス', 'アルマバテーム')",19709.3553750688
"('ニシノキララコ', 'マイネルヘミニス', 'ナルカミ')",1334.6896939753274
"('ニシノキララコ', 'マイネルヘミニス', 'プエルタデルソル')",2363.4709204254414
"('ニシノキララコ', 'プラチナヴォイス', 'スピリットソウル')",39.75833138553448
"('ニシノキララコ', 'プラチナヴォイス', 'ジャコマル')",5950.318785672308
"('ニシノキララコ', 'プラチナヴォイス', 'クインズゴールド')",927.9648305924567
"('ニシノキララコ', 'プラチナヴォイス', 'アルマバテーム')",5767.971842390706
"('ニシノキララコ', 'プラチナヴォイス', 'ナルカミ')",390.03075348478217
"('ニシノキララコ', 'プラチナヴォイス', 'プエルタデルソル')",691.2147012211399
"('ニシノキララコ', 'スピリットソウル', 'ジャコマル')",1482.7928651008917
"('ニシノキララコ', 'スピリットソウル', 'クインズゴールド')",230.16984470258308
"('ニシノキララコ', 'スピリットソウル', 'アルマバテーム')",1437.3171539310808
"('ニシノキララコ', 'スピリットソウル', 'ナルカミ')",95.83610436973154
"('ニシノキララコ', 'スピリットソウル', 'プエルタデルソル')",171.08258706835122
"('ニシノキララコ', 'ジャコマル', 'クインズゴールド')",32924.9159311715
"('ニシノキララコ', 'ジャコマル', 'アルマバテーム')",204552.06732894585
"('ニシノキララコ', 'ジャコマル', 'ナルカミ')",13854.896541433069
"('ニシノキララコ', 'ジャコマル', 'プエルタデルソル')",24530.970954913668
"('ニシノキララコ', 'クインズゴールド', 'アルマバテーム')",31916.009028788554
"('ニシノキララコ', 'クインズゴールド', 'ナルカミ')",2161.5530950904936
"('ニシノキララコ', 'クインズゴールド', 'プエルタデルソル')",3827.4184162111214
"('ニシノキララコ', 'アルマバテーム', 'ナルカミ')",13430.341149123438
"('ニシノキララコ', 'アルマバテーム', 'プエルタデルソル')",23779.2756172418
"('ニシノキララコ', 'ナルカミ', 'プエルタデルソル')",1610.3880030336318
"('ユノディエール', 'マイネルヘミニス', 'プラチナヴォイス')",338.2069118272183
"('ユノディエール', 'マイネルヘミニス', 'スピリットソウル')",83.46176451937018
"('ユノディエール', 'マイネルヘミニス', 'ジャコマル')",12006.019988413418
"('ユノディエール', 'マイネルヘミニス', 'クインズゴールド')",1873.223468306454
"('ユノディエール', 'マイネルヘミニス', 'アルマバテーム')",11638.123505011807
"('ユノディエール', 'マイネルヘミニス', 'ナルカミ')",788.1305194340937
"('ユノディエール', 'マイネルヘミニス', 'プエルタデルソル')",1395.621097495868
"('ユノディエール', 'プラチナヴォイス', 'スピリットソウル')",23.478175313420742
"('ユノディエール', 'プラチナヴォイス', 'ジャコマル')",3513.048187291644
"('ユノディエール', 'プラチナヴォイス', 'クインズゴールド')",547.9044242107345
"('ユノディエール', 'プラチナヴォイス', 'アルマバテーム')",3405.392590944404
"('ユノディエール', 'プラチナヴォイス', 'ナルカミ')",230.31014796484095
"('ユノディエール', 'プラチナヴォイス', 'プエルタデルソル')",408.1287905195899
"('ユノディエール', 'スピリットソウル', 'ジャコマル')",874.1092438393747
"('ユノディエール', 'スピリットソウル', 'クインズゴールド')",135.72411160930048
"('ユノディエール', 'スピリットソウル', 'アルマバテーム')",847.3026424302125
"('ユノディエール', 'スピリットソウル', 'ナルカミ')",56.537229141423396
"('ユノディエール', 'スピリットソウル', 'プエルタデルソル')",100.89364879839889
"('ユノディエール', 'ジャコマル', 'クインズゴールド')",19441.95440162282
"('ユノディエール', 'ジャコマル', 'アルマバテーム')",120787.68293758322
"('ユノディエール', 'ジャコマル', 'ナルカミ')",8180.985880361202
"('ユノディエール', 'ジャコマル', 'プエルタデルソル')",14485.302864080828
"('ユノディエール', 'クインズゴールド', 'アルマバテーム')",18846.20212742054
"('ユノディエール', 'クインズゴールド', 'ナルカミ')",1276.3754214744793
"('ユノディエール', 'クインズゴールド', 'プエルタデルソル')",2260.073557894512
"('ユノディエール', 'アルマバテーム', 'ナルカミ')",7930.297318806
"('ユノディエール', 'アルマバテーム', 'プエルタデルソル')",14041.435026170868
"('ユノディエール', 'ナルカミ', 'プエルタデルソル')",950.9248717140126
"('マイネルヘミニス', 'プラチナヴォイス', 'スピリットソウル')",9.463025619431626
"('マイネルヘミニス', 'プラチナヴォイス', 'ジャコマル')",1415.973502466995
"('マイネルヘミニス', 'プラチナヴォイス', 'クインズゴールド')",220.88858040125166
"('マイネルヘミニス', 'プラチナヴォイス', 'アルマバテーム')",1372.5836213351536
"('マイネルヘミニス', 'プラチナヴォイス', 'ナルカミ')",92.87830019867975
"('マイネルヘミニス', 'プラチナヴォイス', 'プエルタデルソル')",164.5514300435917
"('マイネルヘミニス', 'スピリットソウル', 'ジャコマル')",350.14814822770035
"('マイネルヘミニス', 'スピリットソウル', 'クインズゴールド')",54.42310834994925
"('マイネルヘミニス', 'スピリットソウル', 'アルマバテーム')",339.4120641123583
"('マイネルヘミニス', 'スピリットソウル', 'ナルカミ')",22.707174519908254
"('マイネルヘミニス', 'スピリットソウル', 'プエルタデルソル')",40.47311071113907
"('マイネルヘミニス', 'ジャコマル', 'クインズゴールド')",7841.957142260543
"('マイネルヘミニス', 'ジャコマル', 'アルマバテーム')",48722.42130552643
"('マイネルヘミニス', 'ジャコマル', 'ナルカミ')",3299.3476475279
"('マイネルヘミニス', 'ジャコマル', 'プエルタデルソル')",5842.512971932064
"('マイネルヘミニス', 'クインズゴールド', 'アルマバテーム')",7601.659450308853
"('マイネルヘミニス', 'クインズゴールド', 'ナルカミ')",514.7882593136185
"('マイネルヘミニス', 'クインズゴールド', 'プエルタデルソル')",911.5896685735022
"('マイネルヘミニス', 'アルマバテーム', 'ナルカミ')",3198.2477690634596
"('マイネルヘミニス', 'アルマバテーム', 'プエルタデルソル')",5663.483834730665
"('マイネルヘミニス', 'ナルカミ', 'プエルタデルソル')",383.5341652853477
"('プラチナヴォイス', 'スピリットソウル', 'ジャコマル')",98.2710885760885
"('プラチナヴォイス', 'スピリットソウル', 'クインズゴールド')",15.333948458246425
"('プラチナヴォイス', 'スピリットソウル', 'アルマバテーム')",95.26013727567299
"('プラチナヴォイス', 'スピリットソウル', 'ナルカミ')",6.437823738754909
"('プラチナヴォイス', 'スピリットソウル', 'プエルタデルソル')",11.421341335192709
"('プラチナヴォイス', 'ジャコマル', 'クインズゴールド')",2294.1103259921833
"('プラチナヴォイス', 'ジャコマル', 'アルマバテーム')",14260.405486950953
"('プラチナヴォイス', 'ジャコマル', 'ナルカミ')",964.1509044702198
"('プラチナヴォイス', 'ジャコマル', 'プエルタデルソル')",1708.7792685443583
"('プラチナヴォイス', 'クインズゴールド', 'アルマバテーム')",2223.809627990424
"('プラチナヴォイス', 'クインズゴールド', 'ナルカミ')",150.4285138410143
"('プラチナヴォイス', 'クインズゴールド', 'プエルタデルソル')",266.54929880004687
"('プラチナヴォイス', 'アルマバテーム', 'ナルカミ')",934.6071954786557
"('プラチナヴォイス', 'アルマバテーム', 'プエルタデルソル')",1656.4162652812304
"('プラチナヴォイス', 'ナルカミ', 'プエルタデルソル')",112.06831815366809
"('スピリットソウル', 'ジャコマル', 'クインズゴールド')",569.6229627272643
"('スピリットソウル', 'ジャコマル', 'アルマバテーム')",3557.930558502164
"('スピリットソウル', 'ジャコマル', 'ナルカミ')",237.08192735705165
"('スピリットソウル', 'ジャコマル', 'プエルタデルソル')",423.3525924732875
"('スピリットソウル', 'クインズゴールド', 'アルマバテーム')",552.1553350147722
"('スピリットソウル', 'クインズゴールド', 'ナルカミ')",36.87813320330106
"('スピリットソウル', 'クインズゴールド', 'プエルタデルソル')",65.78218861246368
"('スピリットソウル', 'アルマバテーム', 'ナルカミ')",229.8136851635228
"('スピリットソウル', 'アルマバテーム', 'プエルタデルソル')",410.37124873590494
"('スピリットソウル', 'ナルカミ', 'プエルタデルソル')",27.433929259846465
"('ジャコマル', 'クインズゴールド', 'アルマバテーム')",78897.20926051501
"('ジャコマル', 'クインズゴールド', 'ナルカミ')",5343.4150988685915
"('ジャコマル', 'クインズゴールド', 'プエルタデルソル')",9461.425634762843
"('ジャコマル', 'アルマバテーム', 'ナルカミ')",33200.88032507175
"('ジャコマル', 'アルマバテーム', 'プエルタデルソル')",58783.219143613285
"('ジャコマル', 'ナルカミ', 'プエルタデルソル')",3980.8925405468185
"('クインズゴールド', 'アルマバテーム', 'ナルカミ')",5179.678701327906
"('クインズゴールド', 'アルマバテーム', 'プエルタデルソル')",9171.503316666907
"('クインズゴールド', 'ナルカミ', 'プエルタデルソル')",621.118483957822
"('アルマバテーム', 'ナルカミ', 'プエルタデルソル')",3858.908063851395
